date,province,infected,day
2020-03-16,خراسان جنوبی,7,16
2020-03-16,خراسان رضوی,0,16
2020-03-16,خراسان شمالی,45,16
2020-03-16,خوزستان,53,16
2020-03-16,زنجان,15,16
2020-03-16,سمنان,34,16
2020-03-16,سیستان و بلوچستان,11,16
2020-03-16,فارس,43,16
2020-03-16,قزوین,40,16
2020-03-16,قم,19,16
2020-03-16,لرستان,0,16
2020-03-16,مازندران,96,16
2020-03-16,مرکزی,14,16
2020-03-16,هرمزگان,16,16
2020-03-16,همدان,7,16
2020-03-16,چهارمحال و بختیاری,3,16
2020-03-16,کردستان,31,16
2020-03-16,کرمان,13,16
2020-03-16,کرمانشاه,21,16
2020-03-16,کهگیلویه و بویراحمد,5,16
2020-03-16,گلستان,42,16
2020-03-16,گیلان,18,16
2020-03-16,یزد,51,16
2020-03-17,آذربایجان غربی,34,17
2020-03-17,اردبیل,19,17
2020-03-17,اصفهان,75,17
2020-03-17,البرز,116,17
2020-03-17,ایلام,7,17
2020-03-17,بوشهر,4,17
2020-03-17,تهران,273,17
2020-03-17,خراسان جنوبی,12,17
2020-03-17,خراسان رضوی,63,17
2020-03-17,خراسان شمالی,3,17
2020-03-17,خوزستان,25,17
2020-03-17,زنجان,25,17
2020-03-17,سمنان,33,17
2020-03-17,سیستان و بلوچستان,11,17
2020-03-17,فارس,31,17
2020-03-17,قزوین,26,17
2020-03-17,قم,29,17
2020-03-17,لرستان,35,17
2020-03-17,مازندران,59,17
2020-03-17,مرکزی,47,17
2020-03-17,هرمزگان,6,17
2020-03-17,همدان,11,17
2020-03-17,چهارمحال و بختیاری,2,17
2020-03-17,کردستان,2,17
2020-03-17,کرمان,19,17
2020-03-17,کرمانشاه,9,17
2020-03-17,کهگیلویه و بویراحمد,0,17
2020-03-17,گلستان,30,17
2020-03-17,گیلان,45,17
2020-03-17,یزد,49,17
2020-03-18,آذربایجان غربی,42,18
2020-03-18,اردبیل,10,18
2020-03-18,اصفهان,162,18
2020-03-18,البرز,76,18
2020-03-18,ایلام,10,18
2020-03-18,بوشهر,4,18
2020-03-18,تهران,213,18
2020-03-18,خراسان جنوبی,21,18
2020-03-18,خراسان رضوی,30,18
2020-03-18,خراسان شمالی,0,18
2020-03-18,خوزستان,28,18
2020-03-18,زنجان,20,18
2020-03-18,سمنان,60,18
2020-03-18,سیستان و بلوچستان,6,18
2020-03-18,فارس,60,18
2020-03-18,قزوین,53,18
2020-03-18,قم,22,18
2020-03-18,لرستان,39,18
2020-03-18,مازندران,61,18
2020-03-18,مرکزی,23,18
2020-03-18,هرمزگان,12,18
2020-03-18,همدان,13,18
2020-03-18,چهارمحال و بختیاری,4,18
2020-03-18,کردستان,22,18
2020-03-18,کرمان,11,18
2020-03-18,کرمانشاه,7,18
2020-03-18,کهگیلویه و بویراحمد,13,18
2020-03-18,گلستان,20,18
2020-03-18,گیلان,21,18
2020-03-18,یزد,45,18
2020-03-19,آذربایجان غربی,26,19
2020-03-19,اردبیل,16,19
2020-03-19,اصفهان,108,19
2020-03-19,البرز,61,19
2020-03-19,ایلام,8,19
2020-03-19,بوشهر,8,19
2020-03-19,تهران,137,19
2020-03-19,خراسان جنوبی,5,19
2020-03-19,خراسان رضوی,50,19
2020-03-19,خراسان شمالی,21,19
2020-03-19,خوزستان,22,19
2020-03-19,زنجان,26,19
2020-03-19,سمنان,16,19
2020-03-19,سیستان و بلوچستان,18,19
2020-03-19,فارس,21,19
2020-03-19,قزوین,47,19
2020-03-19,قم,31,19
2020-03-19,لرستان,37,19
2020-03-19,مازندران,58,19
2020-03-19,مرکزی,47,19
2020-03-19,هرمزگان,5,19
2020-03-19,همدان,20,19
2020-03-19,چهارمحال و بختیاری,3,19
2020-03-19,کردستان,11,19
2020-03-19,کرمان,14,19
2020-03-19,کرمانشاه,6,19
2020-03-19,کهگیلویه و بویراحمد,15,19
2020-03-19,گلستان,9,19
2020-03-19,گیلان,73,19
2020-03-19,یزد,69,19
2020-03-20,آذربایجان غربی,27,20
2020-03-20,اردبیل,35,20
2020-03-20,اصفهان,145,20
2020-03-20,البرز,95,20
2020-03-20,ایلام,20,20
2020-03-20,بوشهر,1,20
2020-03-20,تهران,220,20
2020-03-20,خراسان جنوبی,18,20
2020-03-20,خراسان رضوی,48,20
2020-03-20,خراسان شمالی,17,20
2020-03-20,خوزستان,10,20
2020-03-20,زنجان,44,20
2020-03-20,سمنان,52,20
2020-03-20,سیستان و بلوچستان,8,20
2020-03-20,فارس,50,20
2020-03-20,قزوین,8,20
2020-03-20,قم,36,20
2020-03-20,لرستان,9,20
2020-03-20,مازندران,84,20
2020-03-20,مرکزی,17,20
2020-03-20,هرمزگان,17,20
2020-03-20,همدان,22,20
2020-03-20,چهارمحال و بختیاری,3,20
2020-03-20,کردستان,15,20
2020-03-20,کرمان,12,20
