character_1,character_2,relationship
سیسنک (یکی از چهار خواهر),بهرام گور,همسر
مشک(یکی از چهار از خواهر),بهرام گور,همسر
سوسنک (یکی از چهار خواهر),بهرام گور,همسر
گردیه,گستهم دایی خسرو پرویز,همسر
دختر کید,اسکندر,همسر
دلفروز فرخ,شاپور هوبه سنبا,همسر
دلارای دارا,دارای داراب,همسر
همای اسفندیار,اسفندیار,همسر
همای بهمن,بهمن اسفندیار,همسر
منیژه,بیژن,همسر
مریم دختر قیصر,خسرو پرویز,همسر
ناهید,داراب,همسر
روشنک,اسکندر,همسر
سپینود,بهرام گور,همسر
ماه آفرید (دختر برزین),بهرام گور,همسر
شنبلید (دختر برزین),بهرام گور,همسر
شیرین,خسرو پرویز,همسر
سیندخت,مهراب,همسر
آرزو,سلم,همسر
آزاده خوی,تور,همسر
سهی,ایرج,همسر
دختر خاقان (نوشین روان),کسرا انوشیروان,همسر
ارنواز,فریدون,همسر
شهرناز,فریدون,همسر
کتایون,گشتاسپ,همسر
مادر طلخند و گو,جمهور,همسر
مادر طلخند و گو,مای طلخند,همسر
خویش گرسیوز,کاووس,همسر
, گشتاسپ,همسر
دختر کید,اسکندر,همسر
دختر اردوان,اردشیر بابکان,همسر
دختر ماه آفرید,پشنگ (فریدون),همسر
زن بهرام سیاوش,بهرام پور سیاوش,همسر
مشک(یکی از چهار از خواهر),بهرام گور,همسر
سیسنک (یکی از چهار خواهر),بهرام گور,همسر
ناز (یکی از چهار خواهر),بهرام گور,همسر
سوسنک (یکی از چهار خواهر),بهرام گور,همسر
ماه آفرید (دختر برزین),بهرام گور,همسر
فرانک (دختر برزین),بهرام گور,همسر
شنبلید (دختر برزین),بهرام گور,همسر
شنگل (بهرام گور),دختر فغفور چین,همسر
, شنگل,همسر
خاقان (انوشیروان),خاتون (نوشین روان),همسر
مادر طلخند و گو,جمهور,همسر
مادر طلخند و گو,مای طلخند,همسر
دختر خاقان (بهرام چوبینه),بهرام چوبیه,همسر
