character_1,character_2,relationship
شاپور پسر شاپور هوبه سنبا,اورمزد نرسی,جانشین
بهرام شاپور,شاپور پسر شاپور هوبه سنبا,جانشین
یزدگرد بزه کار,بهرام شاپور,جانشین
بهرام گور,یزدگرد بزه کار,جانشین
یزدگرد پور بهرام گور,بهرام گور,جانشین
شاپور پسر شاپور هوبه سنبا,یزدگرد پور بهرام گور,جانشین
پیروز (شاه),شاپور پسر شاپور هوبه سنبا,جانشین
کسرا انوشیروان,قباد پیروز,جانشین
هرمز پسر نوشین روان,کسرا انوشیروان,جانشین
خسرو پرویز,هرمز پسر نوشین روان,جانشین
شاه شیرویه,خسرو پرویز,جانشین
اردشیر شیروی,شاه شیرویه,جانشین
فرایین(آپادشاهی ),اردشیر شیروی,جانشین
پوران دخت,فرایین(آپادشاهی )',جانشین
